How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,0.938
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",0.938
Still can't log into my fucking Snapchat#Snapchat #snap,0.9
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted,0.896
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,0.896
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,0.896
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",0.896
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,0.891
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",0.885
My blood is boiling,0.875
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA #raging #oldcunt,0.875
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",0.875
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",0.875
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off.,0.875
I lost a couple niggas I want revenge so put me in coach,0.875
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,0.873
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",0.867
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,0.864
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",0.863
"The majority of people irritate the fuck out of me, cba with people ahahah",0.862
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,0.854
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,0.854
Fuking fuming ðŸ˜¤,0.854
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing,0.854
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,0.854
